,Unnamed: 0,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
0,0,990.99,7,8,2,72.61,1,13965.51724,1,0,5460.0,-1.9171196266869155
1,1,2041.3,3,2,5,50.33,3,15926.42857,0,0,0.0,0.4807288619995994
2,2,892.12,4,5,3,76.23,1,16175.64103,0,0,4464.0,0.6209473752117325
3,3,1557.41,4,4,7,62.89,2,21010.0,0,0,4056.0,-0.2836170916971174
5,5,1015.95,6,8,2,41.12,3,16200.0,0,0,4440.0,-0.8943788451527023
6,6,1037.45,1,7,7,68.83,1,20830.0,0,0,11400.0,-0.576168361555342
7,7,756.1,7,2,5,66.25,2,35887.93103,0,0,4628.0,0.5518323963201954
8,8,1537.21,3,10,9,67.5,2,43321.18211,0,0,3306.581465,0.593113497957591
9,9,1607.25,3,10,4,59.13,2,13116.66667,0,0,5304.0,-0.6842785631004389
10,10,961.53,4,5,3,71.64,1,9435.0,0,0,6360.0,0.6237297200698992
11,11,1049.72,6,9,1,57.56,2,11420.68966,0,0,4200.0,-0.39586747318579246
12,12,1252.04,1,9,2,68.23,2,1679.0,0,0,11400.0,1.7080296580740086
15,15,1096.61,7,7,4,58.23,2,27629.31034,0,0,4888.0,-0.2693408263826112
17,17,1178.95,5,5,2,67.09,2,9357.0,1,0,3700.0,0.5837234680859731
18,18,1820.41,2,10,9,43.75,3,44936.0,0,0,0.0,0.23871288878640767
19,19,1365.85,1,8,5,61.55,2,12375.0,0,0,11040.0,0.3372580398182125
23,23,719.83,7,4,3,76.44,1,24862.06897,0,0,3692.0,-1.9736916497137638
24,24,1126.51,7,9,1,58.39,2,15581.03448,1,1,0.0,-0.461904190740285
25,25,941.28,1,5,9,76.34,1,45732.0,0,0,0.0,-0.6961182958070572
26,26,1686.08,4,9,3,45.74,3,11674.4898,1,0,5700.0,-0.30720127578747464
27,27,1020.88,1,5,6,74.04,1,16866.19718,0,0,4080.0,-1.148656932242478
28,28,1471.06,3,6,5,72.16,1,11851.25,0,0,4836.0,-0.3133792771368144
29,29,761.51,6,2,1,76.46,1,16687.93103,0,0,0.0,0.6422777655866879
30,30,1504.64,4,6,3,63.93,2,12625.5102,1,0,4628.0,0.6965099518018334
31,31,1588.02,3,4,9,52.93,3,28067.5,0,0,15600.0,0.07885246470649765
32,32,1237.85,1,2,2,55.03,2,5976.0,0,0,7150.0,0.6576999753696696
33,33,915.36,7,2,5,65.42,2,40737.93103,0,0,0.0,1.7413673407311634
34,34,910.8,6,6,1,75.62,1,-1.724137931,1,1,4732.0,-0.1306376291861167
35,35,737.03,2,9,8,81.12,1,36421.6,0,0,5067.4,-0.030196677100473662
36,36,1425.33,1,8,9,54.85,2,44139.0,0,0,12012.0,-1.0873206523515124
37,37,1218.01,4,2,4,72.54,1,10412.85714,0,0,5720.0,-0.1930097045239529
38,38,1513.33,3,8,5,60.32,2,8810.0,0,0,13200.0,0.0351809504063062
39,39,2417.55,3,5,9,56.4,2,23857.40741,0,0,12000.0,-0.3488419534400392
40,40,1250.59,2,9,5,69.99,1,6455.0,0,0,17400.0,-1.5815860376404394
42,42,882.73,1,8,8,72.69,1,31676.0,0,0,12000.0,0.7200634703092733
43,43,2098.93,4,2,3,44.34,3,9438.333333,1,1,6600.0,-0.5959223518902382
44,44,2005.56,2,8,4,47.5,3,15413.38028,0,0,0.0,2.239334921305784
45,45,1347.25,4,9,4,60.37,2,15434.69388,0,0,5400.0,-0.4600313794069969
46,46,926.02,7,7,2,67.1,2,22250.0,0,0,0.0,-0.26033681543460147
47,47,1460.26,3,7,6,55.17,2,11592.14286,0,0,11700.0,-0.4988033628854728
48,48,1501.22,4,7,4,62.23,2,11180.61224,0,0,10200.0,0.7674644318164326
49,49,1152.94,7,10,6,50.07,3,51005.17241,0,0,0.0,0.421257763140132
51,51,1922.78,1,2,9,40.75,3,37516.0,0,0,7788.0,-1.3241562293920055
52,52,1292.46,4,8,1,62.54,2,3185.211268,1,1,6600.0,0.6942018692061637
53,53,1360.79,1,9,9,62.15,2,49957.0,0,0,6384.0,-0.4180504982821702
54,54,855.44,2,1,3,75.87,1,12170.0,0,0,4264.0,0.6141428255163673
55,55,1117.27,2,7,7,74.93,1,25875.0,0,0,5340.0,0.7324357013803416
56,56,2527.15,3,5,10,46.23,3,54705.71429,0,0,10200.0,0.1812925408588948
57,57,1581.74,6,9,8,50.97,3,66113.7931,0,0,0.0,0.9749234956560329
58,58,1467.06,2,8,9,62.3,2,30902.11268,0,0,6000.0,-1.3131250081339711
59,59,1182.59,5,2,7,71.14,1,25953.33333,0,0,2484.0,-0.6461284359098189
60,60,1925.45,3,2,2,55.01,2,4897.857143,1,1,4800.0,1.9315397000162196
61,61,1140.8,7,4,2,62.04,2,12306.89655,0,0,4464.0,-0.324659504527205
62,62,1209.14,3,10,7,80.42,1,19381.42857,0,0,4420.0,0.37116882702881904
65,65,1241.28,4,6,3,69.7,1,13140.81633,0,0,5268.0,-0.8116348512079788
66,66,1201.6,1,8,10,73.67,1,28303.80435,0,0,6292.0,1.5665740502920034
67,67,1217.73,4,1,3,63.74,2,11566.66667,1,0,6240.0,-2.283337243998618
68,68,962.38,7,5,4,63.83,2,26999.73475,0,0,2782.153846,-0.7665968159242469
69,69,809.37,7,1,1,80.21,1,19294.82759,0,0,0.0,1.2003556414225665
70,70,683.61,6,4,1,75.83,1,9887.931034,1,1,0.0,-0.5736093433179591
71,71,891.8,6,7,1,70.72,1,-9675.862069,1,1,4800.0,-0.10863037570349582
72,72,1676.19,3,2,5,54.36,3,9785.802469,0,0,7800.0,-1.733816147717744
74,74,1368.48,2,6,4,64.89,2,21622.0,0,0,0.0,-0.3666441820825854
76,76,860.28,2,9,7,80.38,1,35107.0,0,0,0.0,0.5520252124072608
77,77,643.2,6,9,4,81.94,1,23151.72414,0,0,7080.0,0.531692038260128
78,78,565.11,7,2,1,88.74,1,10484.48276,0,0,4165.0,0.3180338741639996
79,79,1223.44,2,7,4,65.21,2,18496.0,0,0,0.0,-2.5537254450333275
80,80,1162.93,4,8,4,54.43,3,16965.38462,0,0,8400.0,1.0607379015404879
81,81,566.9,7,7,2,83.07,1,13448.27586,0,0,5880.0,0.2120714926910178
83,83,863.49,7,9,5,69.59,1,38655.17241,0,0,0.0,0.0047183749119217
84,84,1492.58,1,1,7,68.13,2,23394.3662,0,0,2160.0,-0.6615918359601428
85,85,1026.83,6,7,9,62.81,2,63954.62148,0,0,8382.319541,0.8742671107395733
86,86,690.36,6,9,5,76.18,1,17765.51724,0,0,11940.0,-0.040684696433210425
89,89,1049.04,5,7,4,72.54,1,14054.4424,0,0,4849.5576,0.36758018444778023
90,90,941.86,1,8,8,66.43,2,28411.0,0,0,9240.0,2.6564229292775594
91,91,688.12,7,10,2,78.16,1,13613.7931,0,0,4420.0,-1.0070833943277087
92,92,980.1,7,9,4,59.84,2,33808.62069,0,0,0.0,1.2049254751865839
93,93,1338.56,1,4,5,67.15,2,17165.0,0,0,7800.0,0.3715007453865152
94,94,1280.96,4,5,4,60.89,2,14570.0,0,0,4452.0,0.6775979606615479
95,95,1443.2,2,7,2,65.78,2,14701.0,0,0,0.0,0.13303220108910369
96,96,952.41,5,8,7,65.71,2,27395.3224,0,0,5745.6776,0.850777221224014
97,97,1497.93,5,7,4,50.83,3,14480.0,0,0,5160.0,-1.1432135325341817
98,98,1630.66,3,8,10,71.91,1,22901.86567,0,0,7592.0,0.2889140310719844
99,99,1248.89,7,5,2,48.63,3,25532.75862,0,0,0.0,0.9432538044422214
101,101,2856.7,3,4,10,54.22,3,52446.42857,0,0,14300.0,1.3030392826922057
102,102,812.31,1,9,8,78.74,1,36576.0,0,0,5220.0,-1.8522962474201385
103,103,1536.66,2,6,8,50.82,3,42523.0,0,0,0.0,-1.1949427701864686
104,104,1251.48,2,9,3,62.76,2,16275.0,0,0,0.0,-0.3546284845165402
105,105,1188.07,5,8,4,60.74,2,12874.0,0,0,6720.0,1.2813270666726644
107,107,748.27,6,2,8,75.48,1,58162.06897,0,0,5940.0,-1.4130047444501548
108,108,1792.65,4,2,3,57.42,2,11843.33333,1,1,3420.0,-0.6172082127473728
109,109,1211.58,2,10,7,66.87,2,34866.0,0,0,0.0,0.16056032410226526
110,110,1396.76,1,8,7,54.74,2,18944.0,0,0,13332.0,-1.27338136978536
111,111,3409.01,3,9,10,36.46,4,47427.14286,0,0,12000.0,-1.165781678480516
112,112,942.6,6,8,1,59.97,2,6276.417931,0,0,6473.6776,-0.22244520704937387
113,113,1457.7,4,8,6,66.14,2,6792.753623,0,0,16744.0,0.03595004889347593
114,114,1777.08,3,1,6,61.88,2,15385.625,0,0,4740.0,-0.8093297405546696
116,116,1117.07,3,9,4,72.86,1,6510.0,0,0,11400.0,0.36449348190033587
117,117,1602.24,3,9,8,55.52,2,17706.42857,0,0,11748.0,0.7198102381991679
118,118,2422.78,3,10,7,32.08,4,12685.86957,0,0,12000.0,1.2220672435590885
119,119,1851.06,3,1,7,43.54,3,23656.62585,0,0,2411.048985,0.6827064133867742
121,121,981.17,2,6,2,69.83,1,11962.0,0,0,0.0,0.8067657258260461
122,122,1878.04,1,8,7,45.87,3,28022.0,0,0,6840.0,0.07530615219038689
123,123,1370.43,3,9,6,63.62,2,12356.79012,0,0,6120.0,-0.39640126518629865
124,124,1160.89,3,4,7,75.21,1,21709.16667,0,0,8184.0,0.18066546750395576
125,125,865.63,7,9,3,68.11,2,21470.68966,0,0,5200.0,-1.6542323749513248
126,126,789.87,7,7,1,69.55,1,2813.793103,1,1,3600.0,0.7295367860799823
127,127,1100.83,5,2,1,66.35,2,7050.0,1,1,3570.0,-0.07480615530394792
128,128,1567.91,1,4,10,47.47,3,58056.0,0,0,0.0,-0.08353547359934223
130,130,791.03,7,9,3,63.86,2,20237.13528,0,0,3888.461538,-0.6891363535859831
132,132,1068.08,2,7,6,71.22,1,26954.0,0,0,0.0,-0.20957919622665463
133,133,1572.72,1,6,6,46.99,3,23577.0,0,0,3900.0,-0.2960845407046188
134,134,1113.24,4,7,3,68.76,1,14446.15385,0,0,4680.0,0.4110659023493893
136,136,617.15,6,9,5,77.92,1,26194.82759,0,0,7800.0,-0.10165733830186356
137,137,1480.8,1,5,10,66.84,2,78678.0,0,0,0.0,0.4323705711900035
138,138,857.83,7,5,2,70.71,1,15068.96552,0,0,3952.0,-2.0662777787316853
139,139,1095.89,2,5,8,63.78,2,39380.0,0,0,5184.0,0.07042969231109672
141,141,1078.27,1,5,1,62.56,2,5353.0,1,1,3384.0,-0.15423961890147014
142,142,1440.17,3,4,5,68.14,2,11507.85714,0,0,6180.0,-0.4593161741341265
143,143,877.68,7,6,3,61.46,2,22329.31034,0,0,4888.0,1.7212573595828957
144,144,1688.66,1,5,10,60.28,2,72519.0,0,0,0.0,0.026401186299747182
145,145,1615.6,4,9,8,70.99,1,20700.625,0,0,7384.0,-0.20794143910974025
147,147,1765.82,2,10,8,60.88,2,36623.0,0,0,0.0,-1.4834998826913541
149,149,2191.75,3,10,7,50.58,3,12249.55357,0,0,4700.0,-1.6220489134223053
152,152,1346.24,2,5,10,69.78,1,42790.76087,0,0,0.0,1.2295169929143395
153,153,1380.89,1,7,10,76.06,1,53527.0,0,0,8450.0,1.1821049488202224
155,155,919.41,7,4,3,68.94,1,21401.72414,0,0,3276.0,-0.981895335652858
156,156,783.01,3,9,6,79.99,1,16596.66667,0,0,6364.0,1.0309128583028195
157,157,1358.07,7,2,3,48.53,3,29831.03448,0,0,0.0,1.4822110008831035
159,159,1291.38,6,5,3,60.71,2,16358.62069,0,0,8248.0,-1.1281857155396569
160,160,1457.12,1,10,7,60.7,2,14772.53521,0,0,9600.0,0.7826364616883492
161,161,963.18,6,9,7,65.52,2,30884.48276,0,0,14400.0,1.2279186486931477
162,162,1921.35,3,9,9,62.86,2,30060.0,0,0,9000.0,-0.3692399514621457
163,163,2619.54,3,6,7,34.43,4,13333.69565,1,0,5900.0,1.6756830745377125
164,164,1378.05,1,2,9,62.23,2,45770.0,0,0,7008.0,0.3766371296386956
165,165,1099.92,4,2,3,76.9,1,11765.30612,0,0,4576.0,-0.33276972068608596
166,166,787.81,5,1,5,82.63,1,11933.0,0,0,10400.0,-0.5327834225480572
167,167,985.0,7,6,1,65.0,2,11655.17241,0,0,4368.0,-0.7082549367463724
168,168,2580.21,2,9,3,14.14,5,17080.0,1,1,0.0,-0.10550324510175899
169,169,815.47,6,8,3,50.07,3,12553.44828,0,0,7800.0,-0.2713339733652363
170,170,1822.64,7,7,7,12.47,5,56377.58621,0,0,0.0,-0.2661629460389686
171,171,1255.52,4,7,6,72.94,1,8812.345679,0,0,11700.0,-1.383628413296528
172,172,1243.27,1,2,1,63.66,2,4001.0,1,1,5400.0,1.9128324541596724
173,173,1262.25,4,7,3,71.5,1,11628.57143,1,0,6060.0,0.4444608677279765
175,175,1079.81,1,2,8,68.64,1,35206.0,0,0,6900.0,-1.1640786749858745
176,176,632.15,7,2,1,81.32,1,6351.724138,0,0,4056.0,0.5116273197287456
177,177,737.65,2,7,5,76.56,1,18631.0,0,0,7200.0,1.1710699094915438
178,178,1237.92,3,9,5,61.76,2,12952.14286,0,0,7300.0,1.2381603221300763
179,179,2090.97,3,10,6,28.81,4,14741.875,0,0,6000.0,0.7521348797856314
180,180,1128.4,1,4,9,72.55,1,36735.21127,0,0,3540.0,-1.972865921056095
181,181,792.44,7,10,3,72.12,1,24631.03448,0,0,3796.0,0.13051613203356194
182,182,873.84,7,7,2,69.71,1,22906.89655,0,0,0.0,0.6278326253350621
183,183,1097.98,7,6,1,67.57,2,12815.51724,1,0,3900.0,-0.18866726176873194
184,184,1464.38,3,8,10,61.97,2,62727.85714,0,0,27000.0,1.0923870535972724
185,185,1022.79,7,5,2,68.87,1,24801.72414,0,0,0.0,0.4020333671229783
186,186,1340.11,4,5,4,73.29,1,11332.14286,0,0,5135.0,0.7672300268304063
187,187,793.03,6,1,1,71.53,1,9413.793103,1,0,4108.0,1.015956304286046
188,188,826.12,1,9,9,76.32,1,38169.0,0,0,13452.0,-0.8369049419063869
189,189,978.45,2,9,8,67.64,2,41628.0,0,0,0.0,0.28739810876808863
190,190,1012.49,6,10,2,68.11,2,18741.37931,0,0,4080.0,0.8354651038987785
191,191,1463.51,1,7,10,52.93,3,51897.0,0,0,11760.0,-0.9170131921207512
192,192,1295.37,3,9,4,67.33,2,7716.428571,0,0,9000.0,0.9612359069442261
193,193,1269.88,7,2,5,50.36,3,43198.27586,0,0,0.0,-0.38866446875046623
195,195,677.95,7,7,1,74.29,1,10484.48276,1,0,4056.0,-0.8850820617735915
197,197,1496.88,3,9,8,59.31,2,20422.5,0,0,8400.0,0.8892429294929378
198,198,1307.05,2,9,8,58.43,2,40347.0,0,0,0.0,-0.05033007038547595
199,199,1004.51,6,10,1,64.69,2,-1000.0,1,1,7500.0,1.0709374293236429
202,202,2414.37,3,8,10,51.7,3,100000.0,0,0,12000.0,-0.6154510433377786
204,204,1809.89,1,9,9,70.61,1,44836.0,0,0,0.0,-0.17816013065839803
205,205,814.51,7,1,1,72.8,1,4358.62069,1,1,3848.0,-0.2959692316969043
206,206,1990.98,3,5,6,51.79,3,13045.6044,0,0,5400.0,1.7496490339254818
207,207,1754.34,6,1,1,34.59,4,9324.137931,1,1,5200.0,-0.06956961335378359
208,208,583.59,7,9,2,88.63,1,21293.10345,0,0,0.0,0.3509755664344985
209,209,629.65,6,5,1,80.59,1,8155.172414,1,0,3408.0,0.26331682483237373
210,210,1524.33,3,7,10,56.56,2,61553.33333,0,0,13200.0,-0.7408724977615134
211,211,1624.48,3,5,7,58.19,2,20328.57143,0,0,7800.0,-0.6268070408242427
212,212,963.65,6,1,2,67.69,2,13746.55172,0,0,5980.0,-0.4377037408079929
213,213,1430.12,7,7,9,65.68,2,80410.34483,0,0,0.0,-0.6089514917543295
215,215,1594.72,2,9,8,61.52,2,30819.01408,0,0,0.0,0.07315536536045424
216,216,1136.51,2,5,4,71.29,1,19668.0,0,0,0.0,0.1454427828757288
217,217,1657.74,3,6,4,53.33,3,10581.42857,0,0,6600.0,-0.49951448415990046
218,218,987.06,5,9,7,64.46,2,21257.0,0,0,9300.0,0.6500281298871713
220,220,1980.61,3,7,3,48.46,3,5342.857143,1,1,10500.0,-0.5047503764821998
221,221,1249.11,5,8,6,63.72,2,23759.0,0,0,6604.0,-0.281458844401625
222,222,1420.94,3,9,8,67.77,2,22045.0,0,0,12000.0,-0.30677358968807106
223,223,2441.54,3,2,5,41.72,3,10180.0,1,1,5892.0,-0.4917577527646411
224,224,1316.86,6,8,1,58.77,2,-3755.172414,1,1,6760.0,-0.6564991113864312
225,225,1819.08,2,6,9,37.45,4,40843.0,0,0,7320.0,-1.1292243355315061
226,226,1274.56,4,9,3,69.27,1,11721.42857,1,0,5537.0,-1.1162384299056733
227,227,1031.51,1,8,10,61.42,2,80969.0,0,0,15600.0,-1.7102921878547206
229,229,1275.05,3,5,7,68.11,2,20329.28571,0,0,4128.0,-0.2244760381402719
230,230,1554.27,3,8,2,69.63,1,3328.021978,1,1,6600.0,-0.14884436117235877
233,233,847.01,7,7,5,64.62,2,29244.82759,0,0,5340.0,1.680366579677213
234,234,757.19,1,8,2,74.2,1,4040.0,0,0,9420.0,0.722163146346109
236,236,1230.03,1,2,6,75.17,1,17923.94366,0,0,4940.0,0.1409403506384629
237,237,2256.0,7,10,5,35.77,4,39944.82759,0,0,0.0,-0.4393809521496823
239,239,879.16,6,8,1,69.64,1,5631.034483,1,0,6292.0,-0.8382743094956877
240,240,1348.08,2,6,4,68.87,1,13933.09859,0,0,0.0,-0.24736975093869443
241,241,1424.79,1,8,6,63.29,2,6439.965281,1,0,19560.03472,-1.1612478066312943
242,242,982.8,2,10,7,74.58,1,32523.0,0,0,0.0,0.6674548490536886
243,243,1093.73,5,8,2,74.66,1,8517.3224,1,0,3990.6776,0.01296981995180592
244,244,1539.04,2,9,9,65.07,2,47936.0,0,0,0.0,0.014107748306012887
245,245,865.3,6,8,3,59.75,2,19979.31034,0,0,3600.0,-0.08751310727295744
246,246,1370.69,2,4,3,63.38,2,15998.0,0,0,0.0,0.7192549518232324
247,247,987.69,3,8,6,76.14,1,11357.6087,0,0,6600.0,0.8318279931945652
248,248,1351.02,5,9,9,67.57,2,31358.4507,0,0,5160.0,0.4095495453467008
249,249,1153.25,1,10,9,71.98,1,33125.35211,0,0,5824.0,0.7361270897910387
250,250,870.46,2,9,9,76.93,1,56232.0,0,0,0.0,-1.5202855256618015
251,251,1739.26,3,5,6,60.45,2,14919.375,0,0,4776.0,-1.6102667572507419
252,252,1281.85,1,9,7,62.16,2,32073.0,0,0,0.0,1.7091025030010776
253,253,1609.03,3,9,10,63.76,2,41919.16667,0,0,15600.0,1.0427772637525068
254,254,996.2,4,9,8,66.72,2,35944.87179,0,0,8880.0,-0.24163271881731785
255,255,1199.27,2,10,2,61.29,2,13436.0,0,0,0.0,0.31647322743505274
258,258,1257.02,3,4,7,69.94,1,19840.71429,0,0,6170.0,1.748432022415463
259,259,2134.84,6,10,2,17.54,5,12798.15374,1,1,4448.070828,1.2903995588178891
260,260,1064.8,2,10,3,71.03,1,16612.0,0,0,0.0,-0.10344429235528102
261,261,1242.24,3,7,7,70.3,1,11471.68142,0,0,6000.0,0.1834701828036762
262,262,1275.49,1,8,6,61.98,2,12003.0,0,0,16560.0,0.3348232862719176
263,263,1199.54,2,10,4,68.29,2,18459.0,0,0,0.0,0.19896917663717914
264,264,482.24,6,7,4,86.74,1,20262.06897,0,0,7904.0,0.6318554822361229
265,265,685.29,7,7,1,76.79,1,8810.166724,0,0,4906.1033,1.7753292622748944
267,267,1287.81,1,6,10,65.6,2,77987.0,0,0,13200.0,0.4182104430089266
268,268,1091.84,3,5,9,74.16,1,26992.25352,0,0,12960.0,0.08610156232430265
269,269,1560.76,3,4,8,67.16,2,23814.81481,0,0,4068.0,-1.2003896611298794
270,270,1459.95,3,2,6,69.68,1,12202.45098,0,0,3984.0,0.47823112532756223
271,271,1357.05,3,8,3,65.99,2,7661.25,0,0,5876.0,-1.0879372734729538
272,272,1828.26,1,6,3,70.99,1,17775.0,0,1,0.0,-0.6556794255852485
273,273,1110.18,2,6,3,72.75,1,16019.0,0,0,0.0,-1.287851328055761
274,274,866.48,7,9,2,60.03,2,14075.86207,1,0,3588.0,0.002949678805695082
275,275,1432.8,1,9,9,64.1,2,29972.53521,0,0,6600.0,0.4839412491037725
276,276,1799.17,3,2,6,60.31,2,17425.83333,0,0,6900.0,-1.8589869644987151
280,280,1255.33,5,8,3,68.75,1,10572.5,0,0,5564.0,0.3542344435578271
281,281,717.5,1,5,1,89.71,1,2969.71831,1,0,3900.0,1.8501999449945385
284,284,861.2,3,9,8,75.81,1,30314.16667,0,0,6420.0,0.8261895267933075
285,285,1637.19,4,8,8,52.02,3,15309.87654,0,0,14400.0,0.8228612220498295
286,286,742.55,7,8,2,71.8,1,13644.82759,0,0,5800.0,1.7670580648403271
287,287,776.93,6,9,1,49.06,3,13697.15385,0,0,1407.650768,-0.03330607682289577
288,288,1164.28,4,2,2,64.44,2,8285.0,0,0,3360.0,-1.025600098735526
290,290,878.08,7,4,4,66.48,2,29194.82759,0,0,4368.0,1.150318625314741
291,291,2005.76,3,5,8,60.95,2,14313.83929,0,0,4836.0,-0.18084236921574035
292,292,807.66,6,2,1,71.93,1,6286.206897,1,0,4692.0,-0.5202661427500836
293,293,1606.31,4,10,4,74.97,1,4895.108696,0,0,10200.0,1.751902632077201
294,294,1113.26,4,2,2,65.56,2,10144.87179,1,0,3744.0,0.3803952452103826
295,295,1941.01,6,9,1,12.38,5,12568.96552,1,1,3564.0,-0.6704642214697547
296,296,1631.96,4,8,6,61.72,2,11861.86441,1,0,12876.0,-0.2889663354327114
297,297,841.38,6,5,1,73.06,1,12186.2069,1,0,4316.0,-1.7439958100085533
298,298,1205.53,7,6,6,62.35,2,50424.13793,0,0,0.0,1.1715995185493389
300,300,810.41,7,9,3,65.08,2,20189.65517,0,0,4596.0,1.0787810816413526
301,301,1556.46,5,1,2,63.05,2,9533.151096,1,1,5300.848904,-0.8176309682800816
302,302,1410.49,3,4,7,64.65,2,21318.33333,0,0,6420.0,0.13458645525623295
303,303,985.93,7,9,3,72.79,1,21986.2069,0,0,2600.0,0.7251744957716882
305,305,912.44,6,2,2,71.05,1,18500.0,0,0,1500.0,-0.5656894797392171
306,306,1252.07,2,5,4,66.36,2,20775.0,0,0,0.0,1.1335292063827274
307,307,2183.65,1,7,4,19.07,5,15876.0,1,1,4200.0,0.47153540326151927
308,308,1453.85,5,4,9,68.47,2,30998.91304,0,0,0.0,-0.3890325530246322
309,309,2031.65,2,8,5,39.23,3,25195.0,0,0,0.0,-0.265161377140561
310,310,1129.26,2,4,4,63.95,2,19931.0,0,0,0.0,0.1782109452655863
312,312,1099.24,1,1,1,65.92,2,3944.0,1,1,4160.0,0.9341500588802119
313,313,1653.92,4,1,3,59.1,2,10231.63265,1,1,6240.0,-0.1418790629364496
314,314,1523.12,2,7,9,68.13,2,24870.65217,0,0,4732.0,-0.3242940643224398
315,315,940.96,5,7,2,77.29,1,7896.0,0,0,5044.0,0.5138945437559744
316,316,853.69,7,1,2,67.0,2,15579.31034,0,0,4680.0,0.026722154757780336
317,317,1207.44,4,9,2,67.58,2,6219.0,1,0,6760.0,0.9142200207025483
320,320,891.59,7,6,2,75.43,1,19172.41379,0,0,3900.0,1.2980924719251394
322,322,1925.64,2,1,3,32.5,4,13926.0,1,1,3796.0,2.270918912626283
323,323,1100.13,6,2,2,63.56,2,5650.0,0,0,9000.0,1.2023137044520824
324,324,3691.5,2,6,9,42.6,3,47512.0,0,0,0.0,-1.0370385279938354
325,325,1587.02,1,6,6,66.73,2,10728.26087,0,0,6890.0,1.2532035821674112
326,326,1202.74,4,5,5,78.14,1,14065.0,0,0,6136.0,-0.726465072857436
327,327,1128.38,3,7,5,69.76,1,10572.22222,0,0,5343.0,-0.09530418593248051
328,328,2162.06,6,7,10,27.21,4,100000.0,0,0,6000.0,1.0326605550375767
329,329,1340.38,4,2,5,68.01,2,13591.42857,0,0,3800.0,-0.5184550808958032
331,331,928.81,1,5,3,69.38,1,12738.0,0,0,4040.0,1.1322934232602677
333,333,996.17,5,6,1,76.07,1,-740.0,1,1,5044.0,-0.9616874795048211
334,334,1401.71,3,4,5,69.82,1,9644.444444,0,0,8100.0,-2.2820067675170126
335,335,1107.67,2,6,7,71.88,1,31960.0,0,0,0.0,0.21854307801741715
337,337,1030.19,5,5,6,75.4,1,26055.0,0,0,0.0,-0.07226173216018049
338,338,1137.5,3,7,6,69.32,1,12131.42857,0,0,9900.0,-0.5856453445583365
339,339,1150.4,3,9,8,65.46,2,18635.0,0,0,16800.0,1.0763111970498576
340,340,1358.83,1,9,10,65.79,2,75699.0,0,0,22188.0,-1.6317060207574543
344,344,887.48,6,2,1,67.77,2,8365.517241,1,0,5925.0,0.6427368898621784
346,346,1031.8,2,5,2,72.12,1,10308.0,0,0,4392.0,-0.40220972944313704
347,347,1714.54,3,10,3,67.34,2,7570.0,0,1,5356.0,-0.5147573896805
349,349,840.5,7,5,3,71.14,1,26100.0,0,0,0.0,0.3094307717305285
350,350,1058.82,2,10,6,69.88,1,26297.0,0,0,0.0,-0.644360503818735
352,352,998.55,7,6,5,60.1,2,35610.34483,0,0,3600.0,-0.6550496315849641
353,353,808.76,5,8,8,77.93,1,39675.0,0,0,4944.0,-0.607406441394642
354,354,2367.49,7,9,8,26.76,4,63858.62069,0,0,0.0,-0.09063014143960751
355,355,986.07,5,2,7,72.09,1,35157.0,0,0,0.0,1.7628232263634924
356,356,1661.63,1,4,10,52.08,3,63320.0,0,0,5040.0,-0.3980261325186233
359,359,1677.82,1,7,5,46.88,3,14602.8169,0,0,5160.0,0.9957522385285744
361,361,1587.89,3,5,9,64.07,2,31148.33333,0,0,10800.0,1.498977939426999
363,363,1158.8,2,6,6,70.27,1,28646.0,0,0,0.0,0.3361167615153116
364,364,864.43,7,9,1,71.1,1,6208.62069,1,0,5980.0,-0.078097017473789
365,365,1601.33,2,6,6,59.39,2,26513.0,0,0,0.0,-0.2948172885148465
366,366,1642.53,3,2,6,46.52,3,17423.33333,0,0,6600.0,1.0672922977540087
369,369,1116.23,5,2,7,69.77,1,33141.0,0,0,0.0,1.3030141220390041
370,370,1692.36,2,6,7,49.78,3,24038.73239,0,0,0.0,-0.8680168752126137
371,371,751.07,1,8,5,76.21,1,17574.0,0,0,5916.0,0.26234952322017113
372,372,1527.27,1,5,9,59.44,2,46404.0,0,0,0.0,0.8550599699079201
373,373,1387.48,4,1,1,69.19,1,5166.0,1,1,2772.0,0.070944440623315
375,375,1986.79,2,10,8,43.88,3,36895.0,0,0,0.0,-0.9409948245226156
377,377,1899.45,4,9,4,42.28,3,2697.730513,1,0,17420.7702,-1.8571932754421872
378,378,1015.98,6,8,2,50.83,3,9389.655172,0,0,7800.0,0.23170351713077603
379,379,1017.26,6,2,1,65.59,2,2782.758621,1,0,9860.0,-0.8687275852581665
380,380,1859.69,3,6,3,58.35,2,7764.166667,1,1,7956.0,-0.9065159573286748
381,381,1249.05,3,2,6,69.2,1,15444.71831,0,0,5687.5,-0.7975848500682866
382,382,1791.83,4,7,6,55.75,2,14205.9322,0,0,13560.0,0.5545012918530036
383,383,1163.17,2,10,3,55.77,2,11508.6,0,0,4807.4,1.1717813057335322
386,386,1321.13,1,6,10,77.59,1,81268.0,0,0,0.0,2.4294164172597883
388,388,1362.27,1,4,7,59.16,2,26907.0,0,0,4500.0,1.6727299712098915
390,390,1200.49,1,1,6,68.21,2,23832.18411,0,0,3974.815891,-1.3349479090127996
